[2021-01-22T14:25:52.450Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:27:02.418Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:27:02.421Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:27:02.423Z] %c action     color: #03A9F4; font-weight: bold {"type":"GO_TO_PRODUCT_TOUR_NEXT_STEP","payload":"CLICK_SMALL_PLUS"} 
,[2021-01-22T14:27:02.425Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:27:14.507Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:27:14.509Z] %c action     color: #03A9F4; font-weight: bold {"type":"DIAGRAM_PAN_LOCATION","payload":{"appId":"3328","panX":0,"panY":0}} 
,[2021-01-22T14:27:14.510Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:27:14.515Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:27:14.515Z] %c action     color: #03A9F4; font-weight: bold {"type":"ST_DIAGRAM_REDRAW","payload":{"kind":"FunctionDefinition","qualifierList":[{"kind":"ResourceKeyword","isToken":true,"value":"resource","position":{"startLine":3,"startColumn":4,"endLine":3,"endColumn":12},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}}],"functionKeyword":{"kind":"FunctionKeyword","isToken":true,"value":"function","position":{"startLine":3,"startColumn":13,"endLine":3,"endColumn":21},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}},"functionName":{"kind":"IdentifierToken","isToken":true,"value":"get","position":{"startLine":3,"startColumn":22,"endLine":3,"endColumn":25},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}},"relativeResourcePath":[{"kind":"IdentifierToken","isToken":true,"value":"hello","position":{"startLine":3,"startColumn":26,"endLine":3,"endColumn":31},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}}],"functionSignature":{"kind":"FunctionSignature","openParenToken":{"kind":"OpenParenToken","isToken":true,"value":"(","position":{"startLine":3,"startColumn":31,"endLine":3,"endColumn":32},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}},"parameters":[{"kind":"RequiredParam","annotations":[],"typeName":{"kind":"QualifiedNameReference","modulePrefix":{"kind":"IdentifierToken","isToken":true,"value":"http","position":{"startLine":3,"startColumn":32,"endLine":3,"endColumn":36},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}},"colon":{"kind":"ColonToken","isToken":true,"value":":","position":{"startLine":3,"startColumn":36,"endLine":3,"endColumn":37},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}},"identifier":{"kind":"IdentifierToken","isToken":true,"value":"Caller","position":{"startLine":3,"startColumn":37,"endLine":3,"endColumn":43},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}},"source":"http:Caller ","position":{"startLine":3,"startColumn":32,"endLine":3,"endColumn":43},"typeData":{"symbol":{"name":"http","moduleID":{"orgName":"ballerina","moduleName":"http","version":"1.0.4"},"kind":"MODULE"},"diagnostics":[]},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}},"paramName":{"kind":"IdentifierToken","isToken":true,"value":"caller","position":{"startLine":3,"startColumn":44,"endLine":3,"endColumn":50},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}},"source":"http:Caller caller","position":{"startLine":3,"startColumn":32,"endLine":3,"endColumn":50},"typeData":{"isEndpoint":true,"symbol":{"name":"http","moduleID":{"orgName":"ballerina","moduleName":"http","version":"1.0.4"},"kind":"MODULE"},"diagnostics":[]},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}},{"kind":"CommaToken","isToken":true,"value":",","position":{"startLine":3,"startColumn":50,"endLine":3,"endColumn":51},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}},{"kind":"RequiredParam","annotations":[],"typeName":{"kind":"QualifiedNameReference","modulePrefix":{"kind":"IdentifierToken","isToken":true,"value":"http","position":{"startLine":3,"startColumn":52,"endLine":3,"endColumn":56},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}},"colon":{"kind":"ColonToken","isToken":true,"value":":","position":{"startLine":3,"startColumn":56,"endLine":3,"endColumn":57},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}},"identifier":{"kind":"IdentifierToken","isToken":true,"value":"Request","position":{"startLine":3,"startColumn":57,"endLine":3,"endColumn":64},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}},"source":"http:Request ","position":{"startLine":3,"startColumn":52,"endLine":3,"endColumn":64},"typeData":{"symbol":{"name":"http","moduleID":{"orgName":"ballerina","moduleName":"http","version":"1.0.4"},"kind":"MODULE"},"diagnostics":[]},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}},"paramName":{"kind":"IdentifierToken","isToken":true,"value":"req","position":{"startLine":3,"startColumn":65,"endLine":3,"endColumn":68},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}},"source":"http:Request req","position":{"startLine":3,"startColumn":52,"endLine":3,"endColumn":68},"typeData":{"symbol":{"name":"http","moduleID":{"orgName":"ballerina","moduleName":"http","version":"1.0.4"},"kind":"MODULE"},"diagnostics":[]},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}}],"closeParenToken":{"kind":"CloseParenToken","isToken":true,"value":")","position":{"startLine":3,"startColumn":68,"endLine":3,"endColumn":69},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}},"source":"(http:Caller caller, http:Request req) ","position":{"startLine":3,"startColumn":31,"endLine":3,"endColumn":69},"typeData":{"diagnostics":[]},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}},"functionBody":{"kind":"FunctionBodyBlock","openBraceToken":{"kind":"OpenBraceToken","isToken":true,"value":"{","position":{"startLine":3,"startColumn":70,"endLine":3,"endColumn":71},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}},"statements":[{"kind":"LocalVarDecl","annotations":[],"typedBindingPattern":{"kind":"TypedBindingPattern","typeDescriptor":{"kind":"VarTypeDesc","name":{"kind":"VarKeyword","isToken":true,"value":"var","position":{"startLine":5,"startColumn":8,"endLine":5,"endColumn":11},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}},"source":"\n        var ","position":{"startLine":5,"startColumn":8,"endLine":5,"endColumn":11},"typeData":{"diagnostics":[]},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}},"bindingPattern":{"kind":"CaptureBindingPattern","variableName":{"kind":"IdentifierToken","isToken":true,"value":"res","position":{"startLine":5,"startColumn":12,"endLine":5,"endColumn":15},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}},"source":"res ","position":{"startLine":5,"startColumn":12,"endLine":5,"endColumn":15},"typeData":{"symbol":{"name":"res","moduleID":{"orgName":"choreouser","moduleName":"sampleapi_nhmq4","version":"0.1.0"},"deprecated":false,"kind":"VARIABLE"},"diagnostics":[]},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}},"source":"\n        var res ","position":{"startLine":5,"startColumn":8,"endLine":5,"endColumn":15},"typeData":{"diagnostics":[]},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}},"equalsToken":{"kind":"EqualToken","isToken":true,"value":"=","position":{"startLine":5,"startColumn":16,"endLine":5,"endColumn":17},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}},"initializer":{"kind":"StringLiteral","literalToken":{"kind":"StringLiteralToken","isToken":true,"value":"\"hello world\"","position":{"startLine":5,"startColumn":18,"endLine":5,"endColumn":31},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}},"source":"\"hello world\"","position":{"startLine":5,"startColumn":18,"endLine":5,"endColumn":31},"typeData":{"diagnostics":[]},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}},"semicolonToken":{"kind":"SemicolonToken","isToken":true,"value":";","position":{"startLine":5,"startColumn":31,"endLine":5,"endColumn":32},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}},"source":"\n        var res = \"hello world\";\n","position":{"startLine":5,"startColumn":8,"endLine":5,"endColumn":32},"typeData":{"diagnostics":[]},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":96,"rw":0,"lw":0,"h":72,"rx":0,"ry":0,"cx":300,"cy":137.5,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false,"isCallerAction":false,"isAction":false,"isEndpoint":false,"endpoint":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false,"visible":true,"isUsed":false,"start":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"lifeLine":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"actionExecution":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"client":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"iconId":"default"},"dataProcess":{"x":0,"y":0,"r":0,"w":96,"rw":0,"lw":0,"h":49,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"action":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false,"trigger":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"iconId":"default"}}}],"closeBraceToken":{"kind":"CloseBraceToken","isToken":true,"value":"}","position":{"startLine":6,"startColumn":4,"endLine":6,"endColumn":5},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}},"source":"{\n\n        var res = \"hello world\";\n    }\n","position":{"startLine":3,"startColumn":70,"endLine":6,"endColumn":5},"typeData":{"diagnostics":[]},"VisibleEndpoints":[{"name":"caller","isCaller":true,"typeName":"Caller","orgName":"ballerina","moduleName":"http","viewState":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5}}],"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":376,"rw":0,"lw":0,"h":456,"rx":0,"ry":0,"cx":300,"cy":126,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false,"plusButtons":[{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":300,"cy":198,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false,"visible":true,"collapsedPlusDuoExpanded":false,"expanded":true,"collapsedClicked":false,"initialPlus":false,"isLast":true,"isTriggerDropdown":false,"index":1,"selectedComponent":"STATEMENT"},{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":300,"cy":126,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false,"visible":true,"collapsedPlusDuoExpanded":false,"expanded":false,"collapsedClicked":false,"initialPlus":false,"isLast":false,"isTriggerDropdown":false,"index":0}],"connectors":{},"isEndComponentAvailable":false,"isEndComponentInMain":false,"collapsedFrom":0,"isElseBlock":false}},"source":"    resource function get hello(http:Caller caller, http:Request req) {\n\n        var res = \"hello world\";\n    }\n","position":{"startLine":3,"startColumn":4,"endLine":6,"endColumn":5},"typeData":{"diagnostics":[]},"viewState":{"bBox":{"x":0,"y":0,"r":0,"w":376,"rw":0,"lw":0,"h":735.5,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false,"trigger":{"x":0,"y":0,"r":0,"w":113,"rw":0,"lw":0,"h":49,"rx":0,"ry":0,"cx":300,"cy":90,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"workerLine":{"x":300,"y":114.5,"r":0,"w":0,"rw":0,"lw":0,"h":479,"rx":0,"ry":0,"cx":0,"cy":0,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"workerBody":{"bBox":{"x":0,"y":0,"r":0,"w":376,"rw":0,"lw":0,"h":456,"rx":0,"ry":0,"cx":300,"cy":126,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false,"plusButtons":[{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":300,"cy":198,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false,"visible":true,"collapsedPlusDuoExpanded":false,"expanded":true,"collapsedClicked":false,"initialPlus":false,"isLast":true,"isTriggerDropdown":false,"index":1,"selectedComponent":"STATEMENT"},{"bBox":{"x":0,"y":0,"r":0,"w":0,"rw":0,"lw":0,"h":0,"rx":0,"ry":0,"cx":300,"cy":126,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false,"visible":true,"collapsedPlusDuoExpanded":false,"expanded":false,"collapsedClicked":false,"initialPlus":false,"isLast":false,"isTriggerDropdown":false,"index":0}],"connectors":{},"isEndComponentAvailable":false,"isEndComponentInMain":false,"collapsedFrom":0,"isElseBlock":false},"end":{"bBox":{"x":0,"y":0,"r":0,"w":65,"rw":0,"lw":0,"h":42,"rx":0,"ry":0,"cx":300,"cy":593.5,"length":0,"label":"","labelWidth":0,"offsetFromBottom":11.5,"offsetFromTop":11.5},"hidden":false,"hiddenBlock":false,"synced":false,"collapsed":false,"folded":false}}}} 
,[2021-01-22T14:27:14.518Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:27:14.523Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:27:14.526Z] %c action     color: #03A9F4; font-weight: bold {"type":"GO_TO_PRODUCT_TOUR_NEXT_STEP","payload":"CLICK_BIG_PLUS"} 
,[2021-01-22T14:27:14.527Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:27:16.562Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
,[2021-01-22T14:27:16.563Z] %c action     color: #03A9F4; font-weight: bold {"type":"DIAGRAM_PAN_LOCATION","payload":{"appId":"3328","panX":0,"panY":0}} 
,[2021-01-22T14:27:16.563Z] %c next state color: #4CAF50; font-weight: bold [object Object] 
,[2021-01-22T14:27:16.567Z] %c prev state color: #9E9E9E; font-weight: bold [object Object] 
